Date/Time (EST),2m Air Temperature (daily avg) (F),2m Max Temperature (F),2m Min Temperature (F)
9/1/1951,65,68,62
9/2/1951,64.5,68,61
9/3/1951,65,70,60
9/4/1951,64.5,69,60
9/5/1951,64,68,60
9/6/1951,64,68,60
9/7/1951,64.5,69,60
9/8/1951,NA,,60
9/9/1951,65,70,60
9/10/1951,66,72,60
9/11/1951,65.5,69,62
9/12/1951,65,69,61
9/13/1951,65.5,70,61
9/14/1951,65.5,69,62
9/15/1951,63.5,67,60
9/16/1951,63.5,67,60
9/17/1951,66,71,61
9/18/1951,68,75,61
9/19/1951,69.5,77,62
9/20/1951,68,75,61
9/21/1951,67,74,60
9/22/1951,66,70,62
9/23/1951,67,71,63
9/24/1951,65,68,62
9/25/1951,64.5,69,60
9/26/1951,65.5,68,63
9/27/1951,64,69,59
9/28/1951,64.5,69,60
9/29/1951,63,70,56
9/30/1951,63.5,70,57
10/1/1951,61.5,72,51
10/2/1951,64,69,59
10/3/1951,65.5,70,61
10/4/1951,63.5,70,57
10/5/1951,66,76,56
10/6/1951,66,80,52
10/7/1951,68,83,53
10/8/1951,67,83,51
10/9/1951,69,78,60
10/10/1951,66.5,74,59
10/11/1951,63,69,57
10/12/1951,63,69,57
10/13/1951,61.5,68,55
10/14/1951,61.5,68,55
10/15/1951,61,69,53
10/16/1951,63.5,67,60
10/17/1951,65,69,61
10/18/1951,62.5,72,53
10/19/1951,63,72,54
10/20/1951,62.5,71,54
10/21/1951,64,73,55
10/22/1951,60,69,51
10/23/1951,61,74,48
10/24/1951,58.5,68,49
10/25/1951,59,64,54
10/26/1951,64,74,54
10/27/1951,61,73,49
10/28/1951,61.5,74,49
10/29/1951,61,72,50
10/30/1951,63,68,58
10/31/1951,61,67,55
11/1/1951,62,67,57
11/2/1951,60.5,71,50
11/3/1951,66.5,85,48
11/4/1951,63.5,80,47
11/5/1951,56,67,45
11/6/1951,61.5,76,47
11/7/1951,60.5,67,54
11/8/1951,59.5,65,54
11/9/1951,59.5,66,53
11/10/1951,58.5,65,52
11/11/1951,59,66,52
11/12/1951,59.5,67,52
11/13/1951,62,66,58
11/14/1951,58.5,67,50
11/15/1951,58.5,67,50
11/16/1951,60.5,73,48
11/17/1951,61.5,74,49
11/18/1951,64.5,78,51
11/19/1951,58,68,48
11/20/1951,61,69,53
11/21/1951,61,65,57
11/22/1951,57.5,64,51
11/23/1951,54.5,62,47
11/24/1951,54,62,46
11/25/1951,51.5,63,40
11/26/1951,53.5,65,42
11/27/1951,55,66,44
11/28/1951,54,63,45
11/29/1951,52.5,61,44
11/30/1951,53.5,62,45
12/1/1951,56.5,65,48
12/2/1951,56,64,48
12/3/1951,54.5,64,45
12/4/1951,57,66,48
12/5/1951,57.5,60,55
12/6/1951,50.5,60,41
12/7/1951,49,58,40
12/8/1951,45,57,33
12/9/1951,44.5,58,31
12/10/1951,49.5,66,33
12/11/1951,51,61,41
12/12/1951,57,63,51
12/13/1951,54,63,45
12/14/1951,52.5,64,41
12/15/1951,51,65,37
12/16/1951,50.5,63,38
12/17/1951,50,60,40
12/18/1951,51,63,39
12/19/1951,51,58,44
12/20/1951,50,59,41
12/21/1951,48.5,59,38
12/22/1951,49.5,60,39
12/23/1951,52,63,41
12/24/1951,52.5,63,42
12/25/1951,55.5,62,49
12/26/1951,51.5,63,40
12/27/1951,53,65,41
12/28/1951,53.5,63,44
12/29/1951,57.5,61,54
12/30/1951,57.5,58,57
12/31/1951,54.5,58,51
1/1/1952,48.5,57,40
1/2/1952,45,55,35
1/3/1952,42.5,54,31
1/4/1952,43,56,30
1/5/1952,45.5,58,33
1/6/1952,47,59,35
1/7/1952,45.5,55,36
1/8/1952,47.5,55,40
1/9/1952,46,58,34
1/10/1952,47,59,35
1/11/1952,47.5,58,37
1/12/1952,49,59,39
1/13/1952,52.5,55,50
1/14/1952,50,57,43
1/15/1952,49.5,59,40
1/16/1952,49.5,57,42
1/17/1952,57,62,52
1/18/1952,55.5,59,52
1/19/1952,54,60,48
1/20/1952,54,61,47
1/21/1952,52.5,58,47
1/22/1952,48.5,59,38
1/23/1952,54,68,40
1/24/1952,56,67,45
1/25/1952,57.5,66,49
1/26/1952,56,67,45
1/27/1952,57,68,46
1/28/1952,57,72,42
1/29/1952,58,71,45
1/30/1952,52,63,41
1/31/1952,51.5,58,45
2/1/1952,54,66,42
2/2/1952,55,67,43
2/3/1952,56,68,44
2/4/1952,57.5,72,43
2/5/1952,59.5,74,45
2/6/1952,63.5,83,44
2/7/1952,63.5,79,48
2/8/1952,61,77,45
2/9/1952,53,60,46
2/10/1952,53.5,63,44
2/11/1952,52,60,44
2/12/1952,51,59,43
2/13/1952,51,60,42
2/14/1952,49,60,38
2/15/1952,52.5,66,39
2/16/1952,52,63,41
2/17/1952,50,59,41
2/18/1952,47.5,55,40
2/19/1952,49,57,41
2/20/1952,48.5,56,41
2/21/1952,49.5,58,41
2/22/1952,52,60,44
2/23/1952,53,62,44
2/24/1952,54.5,64,45
2/25/1952,57,72,42
2/26/1952,58.5,68,49
2/27/1952,61.5,73,50
2/28/1952,56.5,66,47
2/29/1952,55,64,46
3/1/1952,55,59,51
3/2/1952,53,57,49
3/3/1952,50.5,60,41
3/4/1952,52,59,45
3/5/1952,53,60,46
3/6/1952,51,59,43
3/7/1952,53.5,59,48
3/8/1952,52,59,45
3/9/1952,51.5,58,45
3/10/1952,52.5,59,46
3/11/1952,54,57,51
3/12/1952,54,57,51
3/13/1952,51,55,47
3/14/1952,48.5,56,41
3/15/1952,54.5,63,46
3/16/1952,51.5,57,46
3/17/1952,50,58,42
3/18/1952,53.5,60,47
3/19/1952,52,59,45
3/20/1952,54,58,50
3/21/1952,50.5,63,38
3/22/1952,49.5,60,39
3/23/1952,52.5,66,39
3/24/1952,47.5,61,34
3/25/1952,57.5,70,45
3/26/1952,59,69,49
3/27/1952,64,77,51
3/28/1952,61.5,70,53
3/29/1952,61.5,69,54
3/30/1952,61.5,70,53
3/31/1952,57.5,61,54
4/1/1952,53,61,45
4/2/1952,57,61,53
4/3/1952,57.5,65,50
4/4/1952,57,64,50
4/5/1952,57,64,50
4/6/1952,56.5,64,49
4/7/1952,59,67,51
4/8/1952,58,61,55
4/9/1952,58.5,61,56
4/10/1952,56.5,61,52
4/11/1952,55,60,50
4/12/1952,57,60,54
4/13/1952,57,62,52
4/14/1952,55.5,62,49
4/15/1952,55,64,46
4/16/1952,57,66,48
4/17/1952,56,64,48
4/18/1952,58,63,53
4/19/1952,57.5,63,52
4/20/1952,58.5,64,53
4/21/1952,54.5,62,47
4/22/1952,57,65,49
4/23/1952,57.5,62,53
4/24/1952,59,62,56
4/25/1952,60.5,67,54
4/26/1952,55,62,48
4/27/1952,55.5,63,48
4/28/1952,55,62,48
4/29/1952,59,63,55
4/30/1952,59,64,54
5/1/1952,58,67,49
5/2/1952,61,69,53
5/3/1952,61.5,67,56
5/4/1952,61.5,68,55
5/5/1952,60,65,55
5/6/1952,59,65,53
5/7/1952,60,65,55
5/8/1952,60,63,57
5/9/1952,57,65,49
5/10/1952,59.5,66,53
5/11/1952,61,68,54
5/12/1952,58.5,65,52
5/13/1952,61,67,55
5/14/1952,60,67,53
5/15/1952,60,65,55
5/16/1952,61,64,58
5/17/1952,59.5,64,55
5/18/1952,61,66,56
5/19/1952,60.5,67,54
5/20/1952,63.5,68,59
5/21/1952,63.5,68,59
5/22/1952,62,67,57
5/23/1952,63,68,58
5/24/1952,63,67,59
5/25/1952,62,67,57
5/26/1952,61,66,56
5/27/1952,62,67,57
5/28/1952,61.5,67,56
5/29/1952,62,65,59
5/30/1952,63,67,59
5/31/1952,62.5,68,57
6/1/1952,62.5,68,57
6/2/1952,62,68,56
6/3/1952,61.5,64,59
6/4/1952,60.5,63,58
6/5/1952,63.5,67,60
6/6/1952,60.5,62,59
6/7/1952,59.5,63,56
6/8/1952,59.5,64,55
6/9/1952,60,68,52
6/10/1952,58.5,66,51
6/11/1952,60,67,53
6/12/1952,58.5,64,53
6/13/1952,61,66,56
6/14/1952,60,66,54
6/15/1952,60,67,53
6/16/1952,59,67,51
6/17/1952,64,71,57
6/18/1952,61.5,66,57
6/19/1952,62,66,58
6/20/1952,61.5,65,58
6/21/1952,60,64,56
6/22/1952,61,65,57
6/23/1952,64,68,60
6/24/1952,65,70,60
6/25/1952,62.5,65,60
6/26/1952,62,66,58
6/27/1952,60,65,55
6/28/1952,60.5,65,56
6/29/1952,62,66,58
6/30/1952,59.5,67,52
7/1/1952,61,65,57
7/2/1952,61.5,65,58
7/3/1952,61,64,58
7/4/1952,61.5,65,58
7/5/1952,60.5,64,57
7/6/1952,61,65,57
7/7/1952,62,66,58
7/8/1952,63.5,68,59
7/9/1952,62,70,54
7/10/1952,63,70,56
7/11/1952,64.5,70,59
7/12/1952,63.5,71,56
7/13/1952,63,71,55
7/14/1952,60,67,53
7/15/1952,64,68,60
7/16/1952,64.5,70,59
7/17/1952,65,69,61
7/18/1952,65.5,69,62
7/19/1952,65.5,70,61
7/20/1952,66,70,62
7/21/1952,66,71,61
7/22/1952,66.5,70,63
7/23/1952,67,71,63
7/24/1952,69,73,65
7/25/1952,69.5,75,64
7/26/1952,71,75,67
7/27/1952,71,76,66
7/28/1952,71,76,66
7/29/1952,68.5,72,65
7/30/1952,70,73,67
7/31/1952,69,72,66
8/1/1952,68,71,65
8/2/1952,67.5,71,64
8/3/1952,68,72,64
8/4/1952,65.5,68,63
8/5/1952,66.5,70,63
8/6/1952,66.5,70,63
8/7/1952,66.5,72,61
8/8/1952,68,72,64
8/9/1952,67.5,71,64
8/10/1952,67,71,63
8/11/1952,65.5,68,63
8/12/1952,66,69,63
8/13/1952,65.5,68,63
8/14/1952,65,69,61
8/15/1952,65.5,70,61
8/16/1952,66.5,72,61
8/17/1952,67.5,73,62
8/18/1952,66.5,71,62
8/19/1952,67,72,62
8/20/1952,67,72,62
8/21/1952,66.5,73,60
8/22/1952,67.5,72,63
8/23/1952,67.5,73,62
8/24/1952,66.5,72,61
8/25/1952,66.5,73,60
8/26/1952,69.5,75,64
8/27/1952,71,77,65
8/28/1952,70,77,63
8/29/1952,69,77,61
8/30/1952,69.5,77,62
8/31/1952,71.5,78,65
9/1/1952,71.5,78,65
9/2/1952,72,78,66
9/3/1952,72,81,63
9/4/1952,70,78,62
9/5/1952,69.5,77,62
9/6/1952,71,79,63
9/7/1952,69.5,80,59
9/8/1952,70,81,59
9/9/1952,67,74,60
9/10/1952,66,70,62
9/11/1952,63,70,56
9/12/1952,59.5,68,51
9/13/1952,62,72,52
9/14/1952,62,73,51
9/15/1952,63.5,74,53
9/16/1952,62.5,69,56
9/17/1952,65,73,57
9/18/1952,66.5,73,60
9/19/1952,66,71,61
9/20/1952,67,73,61
9/21/1952,68,74,62
9/22/1952,71.5,81,62
9/23/1952,68,75,61
9/24/1952,69.5,75,64
9/25/1952,66,70,62
9/26/1952,66,70,62
9/27/1952,67,70,64
9/28/1952,66.5,70,63
9/29/1952,66.5,70,63
9/30/1952,65.5,69,62
10/1/1952,66,69,63
10/2/1952,62,68,56
10/3/1952,62.5,70,55
10/4/1952,65,71,59
10/5/1952,66.5,74,59
10/6/1952,67.5,76,59
10/7/1952,63.5,72,55
10/8/1952,64,74,54
10/9/1952,61.5,72,51
10/10/1952,63.5,70,57
10/11/1952,63.5,69,58
10/12/1952,63.5,69,58
10/13/1952,62.5,68,57
10/14/1952,61,64,58
10/15/1952,61,66,56
10/16/1952,59,65,53
10/17/1952,62,68,56
10/18/1952,62.5,69,56
10/19/1952,62.5,70,55
10/20/1952,61.5,70,53
10/21/1952,60.5,66,55
10/22/1952,61.5,65,58
10/23/1952,61.5,65,58
10/24/1952,58,65,51
10/25/1952,58,65,51
10/26/1952,58.5,66,51
10/27/1952,59,66,52
10/28/1952,60.5,71,50
10/29/1952,61.5,70,53
10/30/1952,61,69,53
10/31/1952,61.5,67,56
11/1/1952,57.5,66,49
11/2/1952,56.5,65,48
11/3/1952,56,65,47
11/4/1952,62.5,75,50
11/5/1952,67.5,81,54
11/6/1952,66.5,82,51
11/7/1952,69,77,61
11/8/1952,63,69,57
11/9/1952,61,67,55
11/10/1952,54,65,43
11/11/1952,54.5,67,42
11/12/1952,55.5,67,44
11/13/1952,56.5,65,48
11/14/1952,58.5,66,51
11/15/1952,56.5,66,47
11/16/1952,55.5,60,51
11/17/1952,51.5,60,43
11/18/1952,51,62,40
11/19/1952,53,65,41
11/20/1952,53,64,42
11/21/1952,55,67,43
11/22/1952,54.5,65,44
11/23/1952,55,63,47
11/24/1952,47,58,36
11/25/1952,50.5,60,41
11/26/1952,53,61,45
11/27/1952,51,62,40
11/28/1952,50.5,61,40
11/29/1952,50,61,39
11/30/1952,49.5,60,39
12/1/1952,52.5,60,45
12/2/1952,55,63,47
12/3/1952,52,62,42
12/4/1952,51,62,40
12/5/1952,55,70,40
12/6/1952,53.5,63,44
12/7/1952,52.5,62,43
12/8/1952,51.5,61,42
12/9/1952,52,62,42
12/10/1952,52.5,62,43
12/11/1952,55.5,67,44
12/12/1952,56.5,68,45
12/13/1952,57,69,45
12/14/1952,60,75,45
12/15/1952,61,77,45
12/16/1952,54.5,67,42
12/17/1952,57,63,51
12/18/1952,54,64,44
12/19/1952,55.5,64,47
12/20/1952,54,63,45
12/21/1952,52.5,61,44
12/22/1952,49,60,38
12/23/1952,49.5,60,39
12/24/1952,50.5,61,40
12/25/1952,47.5,59,36
12/26/1952,47.5,60,35
12/27/1952,49,61,37
12/28/1952,49.5,62,37
12/29/1952,45.5,54,37
12/30/1952,49.5,60,39
12/31/1952,51.5,59,44
1/1/1953,48.5,57,40
1/2/1953,49,58,40
1/3/1953,55,69,41
1/4/1953,56,71,41
1/5/1953,57.5,73,42
1/6/1953,52.5,60,45
1/7/1953,55.5,59,52
1/8/1953,59.5,63,56
1/9/1953,58,65,51
1/10/1953,60,69,51
1/11/1953,63,75,51
1/12/1953,60.5,72,49
1/13/1953,56,59,53
1/14/1953,58.5,63,54
1/15/1953,51,59,43
1/16/1953,49.5,62,37
1/17/1953,50.5,62,39
1/18/1953,51.5,63,40
1/19/1953,51.5,63,40
1/20/1953,53,62,44
1/21/1953,54.5,61,48
1/22/1953,50,60,40
1/23/1953,55.5,68,43
1/24/1953,55.5,68,43
1/25/1953,56.5,70,43
1/26/1953,58,73,43
1/27/1953,50.5,60,41
1/28/1953,52,64,40
1/29/1953,56.5,70,43
1/30/1953,59.5,74,45
1/31/1953,59,77,41
2/1/1953,59.5,77,42
2/2/1953,54,65,43
2/3/1953,51.5,63,40
2/4/1953,52.5,62,43
2/5/1953,53.5,63,44
2/6/1953,56.5,68,45
2/7/1953,56,70,42
2/8/1953,59,75,43
2/9/1953,51,60,42
2/10/1953,50.5,63,38
2/11/1953,52.5,66,39
2/12/1953,52,66,38
2/13/1953,52.5,66,39
2/14/1953,52.5,67,38
2/15/1953,52.5,66,39
2/16/1953,55,71,39
2/17/1953,57.5,72,43
2/18/1953,51.5,61,42
2/19/1953,46.5,59,34
2/20/1953,43.5,56,31
2/21/1953,45.5,59,32
2/22/1953,48,63,33
2/23/1953,43,52,34
2/24/1953,49,60,38
2/25/1953,49.5,60,39
2/26/1953,52.5,67,38
2/27/1953,50,61,39
2/28/1953,51.5,61,42
3/1/1953,51,61,41
3/2/1953,50,55,45
3/3/1953,47,54,40
3/4/1953,47,58,36
3/5/1953,52,64,40
3/6/1953,54.5,67,42
3/7/1953,54,66,42
3/8/1953,53.5,66,41
3/9/1953,53.5,66,41
3/10/1953,53,60,46
3/11/1953,53.5,61,46
3/12/1953,52.5,60,45
3/13/1953,52.5,59,46
3/14/1953,50.5,60,41
3/15/1953,51,60,42
3/16/1953,51.5,61,42
3/17/1953,54,62,46
3/18/1953,55,61,49
3/19/1953,55,61,49
3/20/1953,58,62,54
3/21/1953,54.5,65,44
3/22/1953,54,65,43
3/23/1953,55,67,43
3/24/1953,62.5,77,48
3/25/1953,59.5,65,54
3/26/1953,57,61,53
3/27/1953,51,60,42
3/28/1953,54,60,48
3/29/1953,54,61,47
3/30/1953,51.5,58,45
3/31/1953,51,60,42
4/1/1953,53,61,45
4/2/1953,55,58,52
4/3/1953,56.5,60,53
4/4/1953,57,61,53
4/5/1953,57,62,52
4/6/1953,57,62,52
4/7/1953,55.5,58,53
4/8/1953,57,62,52
4/9/1953,48.5,57,40
4/10/1953,50,59,41
4/11/1953,50,60,40
4/12/1953,51,61,41
4/13/1953,52,62,42
4/14/1953,53.5,63,44
4/15/1953,50.5,60,41
4/16/1953,58.5,63,54
4/17/1953,57.5,60,55
4/18/1953,55.5,60,51
4/19/1953,55.5,61,50
4/20/1953,54.5,62,47
4/21/1953,58,65,51
4/22/1953,56,63,49
4/23/1953,58.5,63,54
4/24/1953,60.5,63,58
4/25/1953,60.5,63,58
4/26/1953,60.5,64,57
4/27/1953,61,65,57
4/28/1953,60.5,64,57
4/29/1953,57,62,52
4/30/1953,59,63,55
5/1/1953,56.5,62,51
5/2/1953,52,60,44
5/3/1953,61,69,53
5/4/1953,71,88,54
5/5/1953,72,89,55
5/6/1953,77.5,94,61
5/7/1953,65.5,80,51
5/8/1953,62,67,57
5/9/1953,57.5,65,50
5/10/1953,55,64,46
5/11/1953,54.5,64,45
5/12/1953,58,70,46
5/13/1953,59.5,71,48
5/14/1953,57.5,62,53
5/15/1953,59,63,55
5/16/1953,57,62,52
5/17/1953,58.5,64,53
5/18/1953,56,61,51
5/19/1953,56.5,62,51
5/20/1953,59.5,65,54
5/21/1953,61,64,58
5/22/1953,56.5,62,51
5/23/1953,56.5,64,49
5/24/1953,57,65,49
5/25/1953,56.5,65,48
5/26/1953,54.5,62,47
5/27/1953,56.5,63,50
5/28/1953,58.5,62,55
5/29/1953,56.5,64,49
5/30/1953,56,64,48
5/31/1953,56.5,65,48
6/1/1953,56,65,47
6/2/1953,56.5,62,51
6/3/1953,57.5,63,52
6/4/1953,57,65,49
6/5/1953,62,67,57
6/6/1953,61.5,66,57
6/7/1953,61.5,66,57
6/8/1953,62,65,59
6/9/1953,59.5,64,55
6/10/1953,58.5,65,52
6/11/1953,57,65,49
6/12/1953,62,67,57
6/13/1953,61,69,53
6/14/1953,61,70,52
6/15/1953,60.5,71,50
6/16/1953,62.5,66,59
6/17/1953,62,65,59
6/18/1953,60,64,56
6/19/1953,62,66,58
6/20/1953,61.5,66,57
6/21/1953,61.5,67,56
6/22/1953,61,67,55
6/23/1953,62,65,59
6/24/1953,62.5,66,59
6/25/1953,65.5,72,59
6/26/1953,62,66,58
6/27/1953,62.5,67,58
6/28/1953,63,68,58
6/29/1953,64,69,59
6/30/1953,64.5,70,59
7/1/1953,64.5,70,59
7/2/1953,65,70,60
7/3/1953,65,68,62
7/4/1953,64.5,68,61
7/5/1953,64.5,69,60
7/6/1953,64,70,58
7/7/1953,62.5,67,58
7/8/1953,65.5,70,61
7/9/1953,68,73,63
7/10/1953,70,74,66
7/11/1953,68,73,63
7/12/1953,72.5,81,64
7/13/1953,72.5,81,64
7/14/1953,73,78,68
7/15/1953,70.5,75,66
7/16/1953,72.5,78,67
7/17/1953,69,72,66
7/18/1953,69,72,66
7/19/1953,68,71,65
7/20/1953,68.5,72,65
7/21/1953,67.5,71,64
7/22/1953,67.5,70,65
7/23/1953,70.5,74,67
7/24/1953,69,73,65
7/25/1953,68.5,73,64
7/26/1953,67,72,62
7/27/1953,66.5,72,61
7/28/1953,67.5,72,63
7/29/1953,68.5,72,65
7/30/1953,68.5,72,65
7/31/1953,69.5,73,66
8/1/1953,69.5,74,65
8/2/1953,70,74,66
8/3/1953,70,74,66
8/4/1953,63.5,70,57
8/5/1953,65,71,59
8/6/1953,65,71,59
8/7/1953,67,73,61
8/8/1953,67,70,64
8/9/1953,67.5,71,64
8/10/1953,68,72,64
8/11/1953,67.5,70,65
8/12/1953,68.5,71,66
8/13/1953,68,72,64
8/14/1953,67,70,64
8/15/1953,67.5,71,64
8/16/1953,67,71,63
8/17/1953,67,72,62
8/18/1953,67.5,72,63
8/19/1953,66,70,62
8/20/1953,66,70,62
8/21/1953,66,70,62
8/22/1953,66.5,71,62
8/23/1953,66.5,72,61
8/24/1953,66.5,72,61
8/25/1953,65.5,70,61
8/26/1953,69.5,76,63
8/27/1953,68.5,74,63
8/28/1953,66.5,70,63
8/29/1953,65.5,71,60
8/30/1953,64.5,72,57
8/31/1953,63.5,72,55
9/1/1953,63,70,56
9/2/1953,66,69,63
9/3/1953,66.5,69,64
9/4/1953,66,68,64
9/5/1953,67.5,70,65
9/6/1953,68.5,73,64
9/7/1953,69,75,63
9/8/1953,67.5,76,59
9/9/1953,67,75,59
9/10/1953,66.5,72,61
9/11/1953,67,74,60
9/12/1953,68,76,60
9/13/1953,68.5,77,60
9/14/1953,69.5,79,60
9/15/1953,66,70,62
9/16/1953,66.5,71,62
9/17/1953,66.5,71,62
9/18/1953,65,68,62
9/19/1953,65,69,61
9/20/1953,63.5,70,57
9/21/1953,62.5,71,54
9/22/1953,60.5,69,52
9/23/1953,60.5,71,50
9/24/1953,61,70,52
9/25/1953,61,70,52
9/26/1953,60,68,52
9/27/1953,60,68,52
9/28/1953,60,68,52
9/29/1953,62,68,56
9/30/1953,63,65,61
10/1/1953,63,65,61
10/2/1953,63,67,59
10/3/1953,61.5,71,52
10/4/1953,70.5,83,58
10/5/1953,71.5,84,59
10/6/1953,72.5,85,60
10/7/1953,67.5,78,57
10/8/1953,66.5,76,57
10/9/1953,67,77,57
10/10/1953,67,77,57
10/11/1953,66.5,76,57
10/12/1953,67,77,57
10/13/1953,66,71,61
10/14/1953,64.5,72,57
10/15/1953,62.5,70,55
10/16/1953,60,68,52
10/17/1953,61,69,53
10/18/1953,62,70,54
10/19/1953,62,70,54
10/20/1953,59,68,50
10/21/1953,58,68,48
10/22/1953,63.5,70,57
10/23/1953,61,68,54
10/24/1953,56.5,67,46
10/25/1953,56,67,45
10/26/1953,56.5,68,45
10/27/1953,62.5,76,49
10/28/1953,65.5,78,53
10/29/1953,63,77,49
10/30/1953,63.5,69,58
10/31/1953,63.5,71,56
11/1/1953,62.5,73,52
11/2/1953,61,72,50
11/3/1953,67,74,60
11/4/1953,61.5,67,56
11/5/1953,59,63,55
11/6/1953,56.5,63,50
11/7/1953,58.5,67,50
11/8/1953,60,72,48
11/9/1953,59.5,74,45
11/10/1953,73,87,59
11/11/1953,59.5,70,49
11/12/1953,58.5,65,52
11/13/1953,58,62,54
11/14/1953,59.5,65,54
11/15/1953,61,68,54
11/16/1953,59.5,67,52
11/17/1953,63.5,73,54
11/18/1953,55.5,64,47
11/19/1953,50,61,39
11/20/1953,53.5,63,44
11/21/1953,53.5,64,43
11/22/1953,53.5,64,43
11/23/1953,53.5,65,42
11/24/1953,52.5,63,42
11/25/1953,56.5,66,47
11/26/1953,64.5,78,51
11/27/1953,64,78,50
11/28/1953,63,77,49
11/29/1953,62.5,77,48
11/30/1953,61,76,46
12/1/1953,62.5,73,52
12/2/1953,53,63,43
12/3/1953,54,67,41
12/4/1953,55,65,45
12/5/1953,49.5,60,39
12/6/1953,49.5,61,38
12/7/1953,49.5,62,37
12/8/1953,51,59,43
12/9/1953,51.5,62,41
12/10/1953,55,67,43
12/11/1953,53.5,66,41
12/12/1953,53.5,67,40
12/13/1953,54,68,40
12/14/1953,54,69,39
12/15/1953,62,76,48
12/16/1953,59,70,48
12/17/1953,60.5,77,44
12/18/1953,54,67,41
12/19/1953,53,65,41
12/20/1953,52,64,40
12/21/1953,51.5,63,40
12/22/1953,52,65,39
12/23/1953,52.5,65,40
12/24/1953,49.5,66,33
12/25/1953,48.5,65,32
12/26/1953,46,61,31
12/27/1953,49,61,37
12/28/1953,51,62,40
12/29/1953,52,67,37
12/30/1953,48.5,62,35
12/31/1953,49.5,63,36
1/1/1954,49.5,63,36
1/2/1954,49,62,36
1/3/1954,48.5,62,35
1/4/1954,48.5,62,35
1/5/1954,51,62,40
1/6/1954,56,68,44
1/7/1954,55.5,66,45
1/8/1954,52.5,61,44
1/9/1954,51,60,42
1/10/1954,50.5,61,40
1/11/1954,49,61,37
1/12/1954,48.5,60,37
1/13/1954,51,58,44
1/14/1954,49.5,60,39
1/15/1954,50,60,40
1/16/1954,49.5,60,39
1/17/1954,49.5,60,39
1/18/1954,49,60,38
1/19/1954,59.5,64,55
1/20/1954,54,58,50
1/21/1954,51,57,45
1/22/1954,50.5,61,40
1/23/1954,51,61,41
1/24/1954,51,60,42
1/25/1954,51,60,42
1/26/1954,48.5,58,39
1/27/1954,46.5,55,38
1/28/1954,51,60,42
1/29/1954,51.5,61,42
1/30/1954,51.5,61,42
1/31/1954,52.5,62,43
2/1/1954,53,63,43
2/2/1954,53,61,45
2/3/1954,61.5,75,48
2/4/1954,63.5,77,50
2/5/1954,59.5,74,45
2/6/1954,61,78,44
2/7/1954,67.5,83,52
2/8/1954,70.5,87,54
2/9/1954,66,83,49
2/10/1954,57,64,50
2/11/1954,52.5,61,44
2/12/1954,52,60,44
2/13/1954,53,60,46
2/14/1954,54,60,48
2/15/1954,52,60,44
2/16/1954,51.5,60,43
2/17/1954,51,60,42
2/18/1954,53.5,61,46
2/19/1954,50,59,41
2/20/1954,51.5,61,42
2/21/1954,55.5,68,43
2/22/1954,57,71,43
2/23/1954,58,70,46
2/24/1954,64,79,49
2/25/1954,65,82,48
2/26/1954,60,69,51
2/27/1954,58.5,68,49
2/28/1954,57,67,47
3/1/1954,55,67,43
3/2/1954,54.5,62,47
3/3/1954,54,60,48
3/4/1954,52.5,63,42
3/5/1954,56,62,50
3/6/1954,56,61,51
3/7/1954,55,62,48
3/8/1954,54.5,62,47
3/9/1954,59,67,51
3/10/1954,61,67,55
3/11/1954,58,62,54
3/12/1954,53,58,48
3/13/1954,54,65,43
3/14/1954,53,67,39
3/15/1954,51.5,67,36
3/16/1954,51,61,41
3/17/1954,55,62,48
3/18/1954,49.5,56,43
3/19/1954,52,59,45
3/20/1954,54,59,49
3/21/1954,53.5,58,49
3/22/1954,53.5,58,49
3/23/1954,55.5,62,49
3/24/1954,50.5,56,45
3/25/1954,54.5,58,51
3/26/1954,50,58,42
3/27/1954,50.5,59,42
3/28/1954,53,63,43
3/29/1954,53.5,64,43
3/30/1954,56.5,60,53
3/31/1954,52,60,44
4/1/1954,55,61,49
4/2/1954,54.5,61,48
4/3/1954,54.5,62,47
4/4/1954,54.5,62,47
4/5/1954,54.5,63,46
4/6/1954,61,66,56
4/7/1954,55,62,48
4/8/1954,55,62,48
4/9/1954,58.5,65,52
4/10/1954,58.5,65,52
4/11/1954,57.5,64,51
4/12/1954,57,64,50
4/13/1954,58.5,62,55
4/14/1954,59.5,63,56
4/15/1954,59.5,62,57
4/16/1954,59,64,54
4/17/1954,58,62,54
4/18/1954,60,65,55
4/19/1954,61,67,55
4/20/1954,60,63,57
4/21/1954,59.5,62,57
4/22/1954,59.5,63,56
4/23/1954,58,60,56
4/24/1954,59,62,56
4/25/1954,60.5,64,57
4/26/1954,61,65,57
4/27/1954,61,65,57
4/28/1954,59.5,63,56
4/29/1954,60.5,65,56
4/30/1954,60,63,57
5/1/1954,56.5,61,52
5/2/1954,55.5,64,47
5/3/1954,58.5,72,45
5/4/1954,60,71,49
5/5/1954,60,65,55
5/6/1954,60,64,56
5/7/1954,60.5,64,57
5/8/1954,61,65,57
5/9/1954,61,65,57
5/10/1954,61,65,57
5/11/1954,61,66,56
5/12/1954,59.5,63,56
5/13/1954,61,65,57
5/14/1954,61,64,58
5/15/1954,61,65,57
5/16/1954,60.5,64,57
5/17/1954,60.5,65,56
5/18/1954,60.5,63,58
5/19/1954,63,67,59
5/20/1954,63,66,60
5/21/1954,61.5,65,58
5/22/1954,61,65,57
5/23/1954,62,66,58
5/24/1954,62,66,58
